sample,components,mean_threshold,variance_threshold,variance_to_mean_squared
326,6,1.2075300206878476,4.288702596015168,2.9412372490965994
327,5,0.5689410060834816,2.250499522405716,6.952555306367001
328,7,0.47190731083988235,0.3960846828814256,1.7785850475991272
329,5,0.8616474779878976,7.109072958950562,9.575329530807693
330,3,1.410877402341968,3.2764046006379237,1.6459588448025309
331,2,1.948176977664444,3.892140289784332,1.0254905723364947
332,6,0.6873606480016146,1.5827721859548975,3.3500329623465706
333,4,0.8468734160972369,6.733403533787473,9.388530943211993
334,6,1.2898329796428378,7.423858061708606,4.462340493733489
335,7,1.3092187196231573,7.792274843367955,4.546109053790316
336,6,2.777279875157089,17.964405909573117,2.329021861835943
337,3,1.7156545598131192,4.5296103619169354,1.5388672168921107
338,2,1.6732953904236092,5.522955933789082,1.9725424072545645
339,2,0.7226321385001,2.4652653115403758,4.720946944359622
340,6,2.9545697176566685,21.317442670046844,2.4420053952076195
341,5,1.9949908950922357,9.282592529363884,2.332316319348533
342,4,0.7963466890620348,0.9048347172727166,1.4268059049058126
343,2,5.105695240064509,27.338329697370835,1.0487263992831009
344,3,0.46682901255233744,0.22271283730866948,1.0219498238937987
345,6,1.1069718683512102,2.030628956704555,1.657133154784039
346,7,0.8151891796261271,1.9790295846943562,2.978073922130409
347,5,0.8450763597999745,2.9423561309645354,4.1200580111897045
348,3,1.3300367258602102,6.573356672060591,3.7158650354823135
349,5,1.4978017999848214,6.283726469866343,2.8009707632288925
350,8,3.834098770525684,29.18805108629445,1.9855393778028674
351,7,2.0473643668389045,9.327883970971692,2.225321964384168
352,8,3.0158675261338814,19.106749200447048,2.10069151408172
353,3,2.1677443159086116,6.460232249016882,1.3747762446277203
354,6,1.3415443654791868,8.062945359718087,4.480058011081743
355,5,1.3155802639407626,2.262615849503285,1.307302602295321
356,3,0.7771092665045162,0.8258606042199486,1.3675479860038473
357,4,0.4328002119272034,0.30453669817414664,1.6257909631784035
358,5,2.0072416500030488,10.67467888764177,2.6494486071351884
359,7,1.8880607536953256,6.105213193996013,1.7126511260093686
360,2,0.3521843106213208,0.16911569656529024,1.3634647333516685
361,6,0.6966978320406703,1.2393769803345955,2.5533744435217596
362,7,2.02214895701182,12.43285799112083,3.0404977449028547
363,4,0.7441536427927185,1.743028292690471,3.1475976505885375
364,2,2.8442370782938147,8.12453156506444,1.004307585453455
365,4,1.782713070914117,5.012719671830315,1.5772862616043228
366,8,0.8132383781841577,1.4861468486305984,2.2471185958704716
367,4,1.912235910587596,10.374414519249898,2.837139284189547
368,3,2.8746076049828906,14.411162105889687,1.7439814572710826
369,4,0.19900318069740686,0.04366188027074618,1.1025096480710075
370,6,1.038314984649114,4.461958955666991,4.138732216607564
371,8,1.3424459234183783,7.0630156569697995,3.919192254404465
372,8,1.2603665091686787,3.197083150479178,2.012612764379247
373,8,2.7586897964600623,12.070096583908573,1.5860066654403586
374,6,1.8022654366286917,12.451913604842245,3.8335275681568204
375,7,0.8571251132983727,1.265010302693588,1.7218908681772067
376,5,3.1102948809149855,24.369387142640427,2.5190771946891344
377,5,0.5454000600488504,0.4867553612372934,1.636365749576269
378,8,0.6220179828194728,0.7400962389917105,1.912856170274362
379,3,0.7300197632660033,0.9312387876541135,1.7473979487849671
380,4,0.8501472741585425,2.976997088407872,4.118983730520976
381,7,0.2528958954216366,0.10070135816196266,1.5745329975632347
382,7,1.5782956774137928,5.400273179848943,2.167898752987243
383,2,1.3843752033030086,4.276636485920985,2.2314888103085257
384,6,1.8054262263310412,6.518132411287221,1.9996946505103732
385,4,0.4169043030216143,0.449540131616334,2.586400127869154
386,8,1.974630088913195,15.258594717793683,3.9132990468191453
387,5,1.1372964272998647,6.830471572113081,5.280844001966946
388,2,6.52876454472427,42.624892339085086,1.000002952711458
389,4,0.56543123497591,0.36141657331659666,1.1304424889398328
390,8,1.6251224099746218,4.888842297235664,1.8511170026587918
391,8,1.0488238963427567,3.252759964993548,2.9569696605914775
392,4,1.0701040009239395,4.202472679762478,3.669888953032273
393,4,0.8328466711736087,2.1101272975475065,3.04213545225156
394,3,2.0150343448457466,12.538115231178905,3.0879293211775076
395,2,2.941633216664288,9.704220601254464,1.121459563326359
396,2,2.198238901332047,5.319914279773712,1.100917705374325
397,3,0.7173883820790612,3.3965293647108776,6.599738006002894
398,2,0.4456782270018663,0.21641917371565517,1.089564385591939
399,2,0.4427041305628311,0.20199719063562466,1.0306665495001859
